dataset,seed_index,implementation,compression_ratio,memory_bytes
memory-stress,11,Interned,1.05308,113027
memory-stress,11,BudgetSym,1.45031,82070
memory-stress,12,Conventional,1,119490
memory-stress,12,Interned,1.05287,113490
memory-stress,12,BudgetSym,1.44798,82522
memory-stress,13,Conventional,1,119103
memory-stress,13,Interned,1.05305,113103
memory-stress,13,BudgetSym,1.45032,82122
memory-stress,14,Conventional,1,119194
memory-stress,14,Interned,1.05301,113194
memory-stress,14,BudgetSym,1.45014,82195
memory-stress,15,Conventional,1,119321
memory-stress,15,Interned,1.05295,113321
memory-stress,15,BudgetSym,1.44849,82376
memory-stress,16,Conventional,1,119374
memory-stress,16,Interned,1.05292,113374
memory-stress,16,BudgetSym,1.4484,82418
memory-stress,17,Conventional,1,119465
memory-stress,17,Interned,1.05288,113465
memory-stress,17,BudgetSym,1.44824,82490
memory-stress,18,Conventional,1,119370
memory-stress,18,Interned,1.05292,113370
memory-stress,18,BudgetSym,1.44884,82390
memory-stress,19,Conventional,1,119354
memory-stress,19,Interned,1.05293,113354
memory-stress,19,BudgetSym,1.44923,82357
memory-stress,20,Conventional,1,119284
